Application ID,Company,Skill,Status
APP0001,Rivergate Bank,SQL,Applied
APP0001,Rivergate Bank,Excel,Applied
APP0001,Rivergate Bank,Python,Applied
APP0001,Rivergate Bank,DAX,Applied
APP0001,Rivergate Bank,Power Query,Applied
APP0001,Rivergate Bank,Google Sheets,Applied
APP0001,Rivergate Bank,AWS,Applied
APP0002,Marlin Energy,Power BI,Rejected
APP0002,Marlin Energy,Python,Rejected
APP0002,Marlin Energy,Data Cleaning,Rejected
APP0002,Marlin Energy,Git,Rejected
APP0002,Marlin Energy,Data Visualization,Rejected
APP0002,Marlin Energy,Business Intelligence,Rejected
APP0003,Trailhead Logistics,Python,Rejected
APP0003,Trailhead Logistics,Power Query,Rejected
APP0003,Trailhead Logistics,Power BI,Rejected
APP0003,Trailhead Logistics,Data Cleaning,Rejected
APP0003,Trailhead Logistics,Pandas,Rejected
APP0003,Trailhead Logistics,Machine Learning,Rejected
APP0004,Nimbus Cloud Systems,Pandas,Rejected
APP0004,Nimbus Cloud Systems,Azure,Rejected
APP0004,Nimbus Cloud Systems,Communication,Rejected
APP0004,Nimbus Cloud Systems,Looker,Rejected
APP0004,Nimbus Cloud Systems,Power Query,Rejected
APP0004,Nimbus Cloud Systems,R,Rejected
APP0004,Nimbus Cloud Systems,Statistics,Rejected
APP0005,Skyline Retailers,Tableau,No Response
APP0005,Skyline Retailers,Pandas,No Response
APP0005,Skyline Retailers,Git,No Response
APP0005,Skyline Retailers,Power Query,No Response
APP0005,Skyline Retailers,Business Intelligence,No Response
APP0005,Skyline Retailers,Looker,No Response
APP0005,Skyline Retailers,Communication,No Response
APP0006,Skyline Retailers,Forecasting,Applied
APP0006,Skyline Retailers,R,Applied
APP0006,Skyline Retailers,A/B Testing,Applied
APP0006,Skyline Retailers,AWS,Applied
APP0006,Skyline Retailers,Python,Applied
APP0007,Foundry Manufacturing,Data Modeling,Interview
APP0007,Foundry Manufacturing,Azure,Interview
APP0007,Foundry Manufacturing,Google Sheets,Interview
APP0007,Foundry Manufacturing,AWS,Interview
APP0007,Foundry Manufacturing,DAX,Interview
APP0007,Foundry Manufacturing,Tableau,Interview
APP0008,Elm Street Foods,ETL,Applied
APP0008,Elm Street Foods,Looker,Applied
APP0008,Elm Street Foods,Tableau,Applied
APP0008,Elm Street Foods,R,Applied
APP0009,Stonebridge Consulting,Machine Learning,Applied
APP0009,Stonebridge Consulting,Google Sheets,Applied
APP0009,Stonebridge Consulting,Git,Applied
APP0009,Stonebridge Consulting,Power BI,Applied
APP0009,Stonebridge Consulting,Power Query,Applied
APP0009,Stonebridge Consulting,Business Intelligence,Applied
APP0010,Northwind Analytics,Pandas,Applied
APP0010,Northwind Analytics,R,Applied
APP0010,Northwind Analytics,VBA,Applied
APP0010,Northwind Analytics,DAX,Applied
APP0010,Northwind Analytics,Looker,Applied
APP0011,Vertex Capital Partners,R,No Response
APP0011,Vertex Capital Partners,Azure,No Response
APP0011,Vertex Capital Partners,Power BI,No Response
APP0011,Vertex Capital Partners,SQL,No Response
APP0012,Greenfield Foods,Power BI,No Response
APP0012,Greenfield Foods,SQL,No Response
APP0012,Greenfield Foods,Azure,No Response
APP0012,Greenfield Foods,Looker,No Response
APP0012,Greenfield Foods,Excel,No Response
APP0012,Greenfield Foods,Python,No Response
APP0012,Greenfield Foods,Power Query,No Response
APP0012,Greenfield Foods,PivotTables,No Response
APP0013,Cascade Retail Co,SQL,Interview
APP0013,Cascade Retail Co,Git,Interview
APP0013,Cascade Retail Co,Snowflake,Interview
APP0013,Cascade Retail Co,VBA,Interview
APP0013,Cascade Retail Co,Google Sheets,Interview
APP0013,Cascade Retail Co,Business Intelligence,Interview
APP0014,Summit Consulting Partners,R,Applied
APP0014,Summit Consulting Partners,Snowflake,Applied
APP0014,Summit Consulting Partners,Data Modeling,Applied
APP0014,Summit Consulting Partners,Google Sheets,Applied
APP0014,Summit Consulting Partners,Statistics,Applied
APP0014,Summit Consulting Partners,Pandas,Applied
APP0014,Summit Consulting Partners,DAX,Applied
APP0015,Solstice Software,Pandas,No Response
APP0015,Solstice Software,Tableau,No Response
APP0015,Solstice Software,Data Visualization,No Response
APP0015,Solstice Software,Python,No Response
APP0015,Solstice Software,Power Query,No Response
APP0015,Solstice Software,Forecasting,No Response
APP0015,Solstice Software,NumPy,No Response
APP0015,Solstice Software,PivotTables,No Response
APP0016,Beacon Hill Hospital,Pandas,Interview
APP0016,Beacon Hill Hospital,SQL,Interview
APP0016,Beacon Hill Hospital,Python,Interview
APP0016,Beacon Hill Hospital,Azure,Interview
APP0016,Beacon Hill Hospital,A/B Testing,Interview
APP0016,Beacon Hill Hospital,Git,Interview
APP0016,Beacon Hill Hospital,Data Modeling,Interview
APP0017,Lighthouse Retail Group,Looker,No Response
APP0017,Lighthouse Retail Group,SQL,No Response
APP0017,Lighthouse Retail Group,Data Modeling,No Response
APP0017,Lighthouse Retail Group,Data Visualization,No Response
APP0017,Lighthouse Retail Group,Snowflake,No Response
APP0018,Horizon Freight,Git,Rejected
APP0018,Horizon Freight,PivotTables,Rejected
APP0018,Horizon Freight,Forecasting,Rejected
APP0018,Horizon Freight,A/B Testing,Rejected
APP0018,Horizon Freight,Excel,Rejected
APP0019,Parallax Software,Data Visualization,No Response
APP0019,Parallax Software,NumPy,No Response
APP0019,Parallax Software,Forecasting,No Response
APP0019,Parallax Software,Power Query,No Response
APP0019,Parallax Software,ETL,No Response
APP0019,Parallax Software,Excel,No Response
APP0019,Parallax Software,R,No Response
APP0020,Meridian Data Co,Business Intelligence,Offer
APP0020,Meridian Data Co,Forecasting,Offer
APP0020,Meridian Data Co,Statistics,Offer
APP0020,Meridian Data Co,A/B Testing,Offer
APP0020,Meridian Data Co,AWS,Offer
APP0020,Meridian Data Co,Google Sheets,Offer
APP0021,Fieldstone Consulting,Business Intelligence,Rejected
APP0021,Fieldstone Consulting,NumPy,Rejected
APP0021,Fieldstone Consulting,Google Sheets,Rejected
APP0021,Fieldstone Consulting,R,Rejected
APP0022,Greenfield Foods,A/B Testing,Interview
APP0022,Greenfield Foods,Forecasting,Interview
APP0022,Greenfield Foods,Snowflake,Interview
APP0022,Greenfield Foods,AWS,Interview
APP0022,Greenfield Foods,Azure,Interview
APP0023,Quartz Data Solutions,Data Modeling,Rejected
