Application ID,Company,Role Title,Location,Date Applied,Source,Resume Version,Salary Min,Salary Max,Status,Response Date,Interview Date,Response Time (Days)
APP0055,Horizon Freight,Junior Data Analyst,"Indianapolis, IN",02/07/2026,Indeed,Resume_B_Technical,70000,72000,Rejected,2026-02-15,N/A,8
APP0078,Bluepeak Insurance,Data Analyst Intern,"Columbus, OH",02/26/2026,LinkedIn,Resume_B_Technical,,,INTERVIEW,03/08/2026,03/25/2026,10
APP0157,Crestline Insurance,Data Analyst,"Dallas, TX",2026-04-02,ZipRecruiter,Resume_A_Analytics,62000,75000,No Response,,,N/A
APP0125,Amber Logistics,Junior Business Intelligence Analyst,"Atlanta, GA",02/24/2026,Glassdoor,Resume_A_Analytics,60000,78000,Applied,N/A,N/A,N/A
APP0115,Union Square Bank,BI Analyst,Remote,2026-08-09,Indeed,Resume_A_Analytics,68000,68000,applied,N/A,N/A,
APP0154,Beacon Hill Hospital,Data Analyst,"Dallas, TX",2026-04-14,LinkedIn,Resume_B_Technical,,,Rejected,2026-04-29,N/A,15
APP0067,Stonebridge Consulting,Data Analyst,Remote,03/27/2026,Indeed,Resume_B_Technical,60000,70000,REJECTED,2026-03-28,,1
APP0131,Fieldstone Consulting,Junior Data Analyst,Remote,2026-03-29,LinkedIn,Resume_B_Technical,70000,82000,no response,N/A,N/A,
APP0116,Horizon Freight,Operations Data Analyst,"Charlotte, NC",08/04/2026,Company Website,Resume_A_Analytics,62000,68000,no response,,N/A,N/A
APP0050,Granite Manufacturing,Data Analyst I,"Indianapolis, IN",06/30/2026,Indeed,Resume_B_Technical,68000,70000,Applied,,,N/A
APP0023,Quartz Data Solutions,Marketing Data Analyst,"Minneapolis, MN",16-Mar-2026,Handshake,Resume_C_BusinessFocus,60000,82000,REJECTED,04/05/2026,,20
APP0137,Elm Street Foods,Junior Business Intelligence Analyst,Remote,2026-06-06,Handshake,Resume_B_Technical,48000,68000,Applied,N/A,,
APP0120,Ironclad Manufacturing,Operations Data Analyst,"Austin, TX",07/09/2026,Indeed,Resume_A_Analytics,62000,70000,No Response,N/A,,N/A
APP0128,  Union Square Bank  ,Marketing Data Analyst,"Atlanta, GA",07/03/2026,Company Website,Resume_C_BusinessFocus,62000,68000,Applied,,N/A,
