application_id,skill
APP0001,SQL
APP0001,Excel
APP0001,Python
APP0001,DAX
APP0001,Power Query
APP0001,Google Sheets
APP0001,AWS
APP0002,Power BI
APP0002,Python
APP0002,Data Cleaning
APP0002,Git
APP0002,Data Visualization
APP0002,Business Intelligence
APP0003,Python
APP0003,Power Query
APP0003,Power BI
APP0003,Data Cleaning
APP0003,Pandas
APP0003,Machine Learning
APP0004,Pandas
APP0004,Azure
APP0004,Communication
APP0004,Looker
APP0004,Power Query
APP0004,R
APP0004,Statistics
APP0005,Tableau
APP0005,Pandas
APP0005,Git
APP0005,Power Query
APP0005,Business Intelligence
APP0005,Looker
APP0005,Communication
APP0006,Forecasting
APP0006,R
APP0006,A/B Testing
APP0006,AWS
APP0006,Python
APP0007,Data Modeling
APP0007,Azure
APP0007,Google Sheets
APP0007,AWS
APP0007,DAX
APP0007,Tableau
APP0008,ETL
APP0008,Looker
APP0008,Tableau
APP0008,R
APP0009,Machine Learning
APP0009,Google Sheets
APP0009,Git
APP0009,Power BI
APP0009,Power Query
APP0009,Business Intelligence
APP0010,Pandas
APP0010,R
APP0010,VBA
APP0010,DAX
APP0010,Looker
APP0011,R
APP0011,Azure
APP0011,Power BI
APP0011,SQL
APP0012,Power BI
APP0012,SQL
APP0012,Azure
APP0012,Looker
APP0012,Excel
APP0012,Python
APP0012,Power Query
APP0012,PivotTables
APP0013,SQL
APP0013,Git
APP0013,Snowflake
APP0013,VBA
APP0013,Google Sheets
APP0013,Business Intelligence
APP0014,R
APP0014,Snowflake
APP0014,Data Modeling
APP0014,Google Sheets
APP0014,Statistics
APP0014,Pandas
APP0014,DAX
APP0015,Pandas
APP0015,Tableau
APP0015,Data Visualization
APP0015,Python
APP0015,Power Query
APP0015,Forecasting
APP0015,NumPy
APP0015,PivotTables
APP0016,Pandas
APP0016,SQL
APP0016,Python
APP0016,Azure
APP0016,A/B Testing
APP0016,Git
APP0016,Data Modeling
APP0017,Looker
APP0017,SQL
APP0017,Data Modeling
APP0017,Data Visualization
APP0017,Snowflake
APP0018,Git
APP0018,PivotTables
APP0018,Forecasting
APP0018,A/B Testing
APP0018,Excel
APP0019,Data Visualization
APP0019,NumPy
APP0019,Forecasting
APP0019,Power Query
APP0019,ETL
APP0019,Excel
APP0019,R
APP0020,Business Intelligence
APP0020,Forecasting
APP0020,Statistics
APP0020,A/B Testing
APP0020,AWS
APP0020,Google Sheets
APP0021,Business Intelligence
APP0021,NumPy
APP0021,Google Sheets
APP0021,R
APP0022,A/B Testing
APP0022,Forecasting
APP0022,Snowflake
APP0022,AWS
APP0022,Azure
APP0023,Data Modeling
APP0023,ETL
APP0023,Power Query
APP0023,R
APP0024,Tableau
APP0024,Azure
APP0024,Communication
APP0024,Excel
APP0024,ETL
APP0025,Statistics
APP0025,ETL
APP0025,Machine Learning
APP0025,AWS
APP0025,Business Intelligence
APP0025,Google Sheets
APP0025,A/B Testing
APP0025,Looker
APP0026,Statistics
APP0026,Git
APP0026,Looker
APP0026,Python
APP0026,Tableau
APP0026,Business Intelligence
APP0027,Communication
APP0027,Excel
APP0027,ETL
APP0027,Snowflake
APP0027,Data Cleaning
APP0027,VBA
APP0027,Data Modeling
APP0027,Data Visualization
APP0028,Business Intelligence
APP0028,PivotTables
APP0028,Machine Learning
APP0028,Tableau
APP0028,AWS
APP0028,Looker
APP0028,Excel
APP0029,ETL
APP0029,Data Cleaning
APP0029,Pandas
APP0029,Git
APP0029,A/B Testing
APP0029,Forecasting
APP0030,Tableau
APP0030,VBA
APP0030,R
APP0030,Power BI
APP0030,Snowflake
APP0031,R
APP0031,Data Cleaning
APP0031,Data Modeling
APP0031,Communication
APP0031,DAX
APP0031,Python
APP0031,Snowflake
APP0031,Azure
APP0032,Excel
APP0032,A/B Testing
APP0032,VBA
APP0032,Power BI
APP0032,Data Modeling
APP0032,Data Visualization
APP0033,Git
APP0033,Power Query
APP0033,Python
APP0033,Pandas
APP0033,Machine Learning
APP0033,Data Modeling
APP0034,DAX
APP0034,Python
APP0034,Power Query
APP0034,Business Intelligence
APP0034,A/B Testing
APP0034,VBA
APP0034,Looker
APP0034,Forecasting
APP0035,A/B Testing
APP0035,Business Intelligence
APP0035,Looker
APP0035,Statistics
APP0035,Data Visualization
APP0035,Communication
APP0036,ETL
APP0036,Google Sheets
APP0036,AWS
APP0036,NumPy
APP0036,Power BI
APP0036,DAX
APP0036,Git
APP0036,Power Query
APP0037,VBA
APP0037,Machine Learning
APP0037,Statistics
APP0037,PivotTables
APP0037,SQL
APP0037,Pandas
APP0037,Git
APP0038,AWS
APP0038,Git
APP0038,Forecasting
APP0038,Data Modeling
APP0038,Power Query
APP0038,Google Sheets
APP0038,Data Cleaning
APP0039,Machine Learning
APP0039,Communication
APP0039,AWS
APP0039,VBA
APP0039,NumPy
APP0039,SQL
APP0039,Power Query
APP0040,Data Modeling
APP0040,Tableau
APP0040,Python
APP0040,SQL
APP0040,PivotTables
APP0040,NumPy
APP0041,Business Intelligence
APP0041,Statistics
APP0041,AWS
APP0041,Pandas
APP0041,Excel
APP0041,Python
APP0041,Power Query
APP0042,A/B Testing
APP0042,Azure
APP0042,VBA
APP0042,Python
APP0042,Forecasting
APP0042,Data Visualization
APP0042,Git
APP0042,Statistics
APP0043,Git
APP0043,Google Sheets
APP0043,Excel
APP0043,R
APP0043,Looker
APP0043,Machine Learning
APP0043,A/B Testing
APP0044,Power BI
APP0044,Excel
APP0044,Azure
APP0044,AWS
APP0044,Power Query
APP0044,Communication
APP0044,PivotTables
APP0045,Business Intelligence
APP0045,Tableau
APP0045,Python
APP0045,Pandas
APP0045,A/B Testing
APP0045,Statistics
APP0045,Google Sheets
APP0045,ETL
APP0046,Machine Learning
APP0046,Statistics
APP0046,DAX
APP0046,Communication
APP0046,Power Query
APP0046,Snowflake
APP0046,Data Cleaning
APP0047,Statistics
APP0047,Power BI
APP0047,Machine Learning
APP0047,Data Modeling
APP0047,Google Sheets
APP0047,Forecasting
APP0047,Excel
APP0047,Tableau
APP0048,Azure
APP0048,Communication
APP0048,ETL
APP0048,VBA
APP0048,Looker
APP0048,SQL
APP0049,Google Sheets
APP0049,A/B Testing
APP0049,Snowflake
APP0049,R
APP0049,Forecasting
APP0050,Forecasting
APP0050,Machine Learning
APP0050,NumPy
APP0050,R
APP0051,Power BI
APP0051,Power Query
APP0051,Data Cleaning
APP0051,Snowflake
APP0051,Data Visualization
APP0051,ETL
APP0051,NumPy
APP0052,Azure
APP0052,Power BI
APP0052,SQL
APP0052,NumPy
APP0052,Forecasting
APP0053,Data Modeling
APP0053,PivotTables
APP0053,Pandas
APP0053,VBA
APP0053,NumPy
APP0053,Statistics
APP0054,Machine Learning
APP0054,Data Visualization
APP0054,R
APP0054,Business Intelligence
APP0055,Communication
APP0055,NumPy
APP0055,Azure
APP0055,A/B Testing
APP0055,Power BI
APP0055,Tableau
APP0055,SQL
APP0056,Data Modeling
APP0056,VBA
APP0056,AWS
APP0056,A/B Testing
APP0057,Power BI
APP0057,Git
APP0057,Data Modeling
APP0057,Machine Learning
APP0057,Python
APP0058,Statistics
APP0058,ETL
APP0058,Tableau
APP0058,Forecasting
APP0058,AWS
APP0059,Business Intelligence
APP0059,Python
APP0059,VBA
APP0059,Machine Learning
APP0060,A/B Testing
APP0060,R
APP0060,Power BI
APP0060,VBA
APP0060,Communication
APP0060,Machine Learning
APP0060,Python
APP0061,A/B Testing
APP0061,Power BI
APP0061,Forecasting
APP0061,Communication
APP0061,Data Modeling
APP0061,Azure
APP0061,ETL
APP0061,Looker
APP0062,Data Visualization
APP0062,Tableau
APP0062,R
APP0062,VBA
APP0062,Python
APP0062,Business Intelligence
APP0063,AWS
APP0063,NumPy
APP0063,Data Visualization
APP0063,Power BI
APP0063,Snowflake
APP0063,Google Sheets
APP0064,R
APP0064,Data Modeling
APP0064,Communication
APP0064,Pandas
APP0064,Excel
APP0064,PivotTables
APP0064,ETL
APP0064,NumPy
APP0065,Tableau
APP0065,PivotTables
APP0065,ETL
APP0065,AWS
APP0066,NumPy
APP0066,R
APP0066,Snowflake
APP0066,VBA
APP0067,PivotTables
APP0067,Tableau
APP0067,Data Cleaning
APP0067,Looker
APP0067,Communication
APP0067,Power Query
APP0067,Google Sheets
APP0068,PivotTables
APP0068,Forecasting
APP0068,AWS
APP0068,Machine Learning
APP0068,Communication
APP0068,Data Visualization
APP0069,Google Sheets
APP0069,DAX
APP0069,ETL
APP0069,Data Visualization
APP0069,Forecasting
APP0069,Azure
APP0069,Tableau
APP0069,Power Query
APP0070,Tableau
APP0070,Machine Learning
APP0070,Python
APP0070,VBA
APP0070,Data Modeling
APP0070,Azure
APP0071,AWS
APP0071,Google Sheets
APP0071,Data Cleaning
APP0071,Machine Learning
APP0072,Communication
APP0072,Python
APP0072,Google Sheets
APP0072,Azure
APP0072,PivotTables
APP0072,SQL
APP0073,Python
APP0073,Statistics
APP0073,Power BI
APP0073,Looker
APP0073,R
APP0073,Data Cleaning
APP0074,R
APP0074,Communication
APP0074,Data Modeling
APP0074,Business Intelligence
APP0074,Google Sheets
APP0075,ETL
APP0075,AWS
APP0075,Tableau
APP0075,Data Modeling
APP0075,Data Cleaning
APP0075,Forecasting
APP0076,Data Modeling
APP0076,DAX
APP0076,Forecasting
APP0076,AWS
APP0076,Tableau
APP0077,Tableau
APP0077,Data Modeling
APP0077,A/B Testing
APP0077,Python
APP0077,Power Query
APP0077,Machine Learning
APP0077,Data Visualization
APP0077,Excel
APP0078,Data Modeling
